"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
Flatbush/Midwood,Latino,2014,Percent,0.42029,314
Flatbush/Midwood,White,2014,Percent,0.16499,314
Sheepshead Bay,Asian,2014,Percent,0.43577,315
Sheepshead Bay,Latino,2014,Percent,0.25709,315
Sheepshead Bay,White,2014,Percent,0.242,315
Brownsville,Black,2014,Percent,0.39487,316
Brownsville,Latino,2014,Percent,0.71441,316
Brownsville,White,2014,Percent,1,316
East Flatbush,Asian,2014,Percent,1,317
East Flatbush,Black,2014,Percent,0.21954,317
East Flatbush,Latino,2014,Percent,0.55703,317
Canarsie,Asian,2014,Percent,0.09197,318
Canarsie,Black,2014,Percent,0.17244,318
Canarsie,Latino,2014,Percent,0.23216,318
Canarsie,White,2014,Percent,0.12514,318
Astoria,Asian,2014,Percent,0.42636,401
Astoria,Black,2014,Percent,1,401
Astoria,Latino,2014,Percent,0.29424,401
Astoria,White,2014,Percent,0.12596,401
Sunnyside/Woodside,Asian,2014,Percent,0.24216,402
Sunnyside/Woodside,Latino,2014,Percent,0.25204,402
Jackson Heights,Asian,2014,Percent,0.10666,403
Jackson Heights,Black,2014,Percent,0.08508,403
Jackson Heights,Latino,2014,Percent,0.17845,403
Jackson Heights,White,2014,Percent,0.17397,403
Elmhurst/Corona,Asian,2014,Percent,0.22941,404
Elmhurst/Corona,Black,2014,Percent,0.51997,404
Elmhurst/Corona,Latino,2014,Percent,0.30018,404
Ridgewood/Glendale,Asian,2014,Percent,0.07894,405
Ridgewood/Glendale,Latino,2014,Percent,0.30766,405
Ridgewood/Glendale,White,2014,Percent,0.07659,405
Rego Park/Forest Hills,Asian,2014,Percent,0.10839,406
Rego Park/Forest Hills,Latino,2014,Percent,0.15625,406
Rego Park/Forest Hills,White,2014,Percent,0.01345,406
Flushing,Asian,2014,Percent,0.26125,407
Flushing,Latino,2014,Percent,0.20856,407
Flushing,White,2014,Percent,0.09957,407
Fresh Meadows/Briarwood,Asian,2014,Percent,0.08704,408
Fresh Meadows/Briarwood,Black,2014,Percent,0.26034,408
Fresh Meadows/Briarwood,Latino,2014,Percent,0.2964,408
Fresh Meadows/Briarwood,White,2014,Percent,0.08148,408
Woodhaven,Asian,2014,Percent,0.21964,409
Woodhaven,Black,2014,Percent,0.16904,409
Woodhaven,Latino,2014,Percent,0.2358,409
Howard Beach,Asian,2014,Percent,0.32882,410
Howard Beach,Black,2014,Percent,0.30069,410
Howard Beach,Latino,2014,Percent,0.42617,410
Howard Beach,White,2014,Percent,0.03562,410
Bayside,Asian,2014,Percent,0.10398,411
Bayside,White,2014,Percent,0.057,411
Jamaica/St. Albans,Asian,2014,Percent,0.12848,412
Jamaica/St. Albans,Black,2014,Percent,0.16627,412
Jamaica/St. Albans,Latino,2014,Percent,0.31776,412
Jamaica/St. Albans,White,2014,Percent,0.16714,412
Queens Village,Asian,2014,Percent,0.09115,413
Queens Village,Black,2014,Percent,0.13425,413
Queens Village,Latino,2014,Percent,0.06687,413
Queens Village,White,2014,Percent,0.15668,413
The Rockaways,Black,2014,Percent,0.37011,414
The Rockaways,Latino,2014,Percent,0.3131,414
The Rockaways,White,2014,Percent,0.14361,414
St. George,Asian,2014,Percent,0.04829,501
St. George,Black,2014,Percent,0.37078,501
St. George,Latino,2014,Percent,0.51177,501
St. George,White,2014,Percent,0.07977,501
South Beach,Asian,2014,Percent,0.12404,502
South Beach,Latino,2014,Percent,0.13452,502
South Beach,White,2014,Percent,0.07326,502
Tottenville,Asian,2014,Percent,0.10993,503
Tottenville,Latino,2014,Percent,0.1895,503
Tottenville,White,2014,Percent,0.11086,503
Bronx,Asian,2014,Percent,0.36348,36005
Bronx,Black,2014,Percent,0.38789,36005
Bronx,Latino,2014,Percent,0.48865,36005
Bronx,White,2014,Percent,0.19655,36005
Brooklyn,Asian,2014,Percent,0.3438,36047
Brooklyn,Black,2014,Percent,0.28256,36047
Brooklyn,Latino,2014,Percent,0.37451,36047
Brooklyn,White,2014,Percent,0.31428,36047
Manhattan,Asian,2014,Percent,0.18565,36061
Manhattan,Black,2014,Percent,0.36099,36061
Manhattan,Latino,2014,Percent,0.36457,36061
Manhattan,White,2014,Percent,0.08206,36061
Queens,Asian,2014,Percent,0.18912,36081
Queens,Black,2014,Percent,0.21453,36081
Queens,Latino,2014,Percent,0.26056,36081
Queens,White,2014,Percent,0.07667,36081
Staten Island,Asian,2014,Percent,0.0901,36085
Staten Island,Black,2014,Percent,0.26296,36085
Staten Island,Latino,2014,Percent,0.39235,36085
Staten Island,White,2014,Percent,0.09528,36085
New York City,Asian,2014,Percent,0.24378,3651000
New York City,Black,2014,Percent,0.30074,3651000
New York City,Latino,2014,Percent,0.38425,3651000
New York City,White,2014,Percent,0.19245,3651000
Battery Park/Tribeca,White,2015,Number,81.17262,101
Battery Park/Tribeca,Black,2015,Number,0,101
Battery Park/Tribeca,Asian,2015,Number,104.19172,101
Battery Park/Tribeca,Latino,2015,Number,27.86523,101
Greenwich Village,White,2015,Number,119.82738,102
Greenwich Village,Black,2015,Number,0,102
Greenwich Village,Asian,2015,Number,153.80828,102
Greenwich Village,Latino,2015,Number,41.13477,102
Lower East Side,White,2015,Number,200,103
Lower East Side,Black,2015,Number,676,103
Lower East Side,Asian,2015,Number,2508,103
Lower East Side,Latino,2015,Number,3123,103
Chelsea/Clinton,White,2015,Number,519.83049,104
Chelsea/Clinton,Black,2015,Number,509.1673,104
Chelsea/Clinton,Asian,2015,Number,35.32182,104
Chelsea/Clinton,Latino,2015,Number,599.13796,104
Midtown Business District,White,2015,Number,260.16951,105
Midtown Business District,Black,2015,Number,254.8327,105
Midtown Business District,Asian,2015,Number,17.67818,105
Midtown Business District,Latino,2015,Number,299.86204,105
Murray Hill/Stuyvesant,White,2015,Number,40,106
Murray Hill/Stuyvesant,Black,2015,Number,,106
Murray Hill/Stuyvesant,Asian,2015,Number,386,106
Murray Hill/Stuyvesant,Latino,2015,Number,0,106
Upper West Side,White,2015,Number,523,107
Upper West Side,Black,2015,Number,696,107
Upper West Side,Asian,2015,Number,359,107
Upper West Side,Latino,2015,Number,1164,107
Upper East Side,White,2015,Number,1285,108
Upper East Side,Black,2015,Number,0,108
Upper East Side,Asian,2015,Number,38,108
Upper East Side,Latino,2015,Number,477,108
Manhattanville,White,2015,Number,31,109
Manhattanville,Black,2015,Number,1932,109
Manhattanville,Asian,2015,Number,46,109
Manhattanville,Latino,2015,Number,4496,109
Central Harlem,White,2015,Number,356,110
Central Harlem,Black,2015,Number,6461,110
Central Harlem,Asian,2015,Number,173,110
Central Harlem,Latino,2015,Number,3529,110
East Harlem,White,2015,Number,33,111
East Harlem,Black,2015,Number,3364,111
East Harlem,Asian,2015,Number,672,111
East Harlem,Latino,2015,Number,7147,111
Washington Heights,White,2015,Number,568,112
Washington Heights,Black,2015,Number,1288,112
Washington Heights,Asian,2015,Number,53,112
Washington Heights,Latino,2015,Number,10924,112
Mott Haven,White,2015,Number,215.14777,201
Mott Haven,Black,2015,Number,3728.16714,201
Mott Haven,Asian,2015,Number,17.18636,201
Mott Haven,Latino,2015,Number,10206.78847,201
Hunts Point,White,2015,Number,122.85223,202
Hunts Point,Black,2015,Number,2128.83286,202
Hunts Point,Asian,2015,Number,9.81364,202
Hunts Point,Latino,2015,Number,5828.21153,202
Morrisania,White,2015,Number,83.17205,203
Morrisania,Black,2015,Number,3403.20476,203
Morrisania,Asian,2015,Number,22.99463,203
Morrisania,Latino,2015,Number,8143.5226,203
Concourse/Highbridge,White,2015,Number,243,204
Concourse/Highbridge,Black,2015,Number,4735,204
Concourse/Highbridge,Asian,2015,Number,343,204
Concourse/Highbridge,Latino,2015,Number,13794,204
University Heights,White,2015,Number,399,205
University Heights,Black,2015,Number,5477,205
University Heights,Asian,2015,Number,175,205
University Heights,Latino,2015,Number,14934,205
East Tremont,White,2015,Number,86.82795,206
East Tremont,Black,2015,Number,3552.79524,206
East Tremont,Asian,2015,Number,24.00537,206
East Tremont,Latino,2015,Number,8501.4774,206
Bedford Park,White,2015,Number,140,207
Bedford Park,Black,2015,Number,685,207
Bedford Park,Asian,2015,Number,1663,207
Bedford Park,Latino,2015,Number,12440,207
Riverdale,White,2015,Number,489,208
Riverdale,Black,2015,Number,859,208
Riverdale,Asian,2015,Number,80,208
Riverdale,Latino,2015,Number,4763,208
Unionport/Soundview,White,2015,Number,967,209
Unionport/Soundview,Black,2015,Number,5401,209
Unionport/Soundview,Asian,2015,Number,977,209
Unionport/Soundview,Latino,2015,Number,11680,209
Throgs Neck,White,2015,Number,193,210
Throgs Neck,Black,2015,Number,736,210
Throgs Neck,Asian,2015,Number,76,210
Throgs Neck,Latino,2015,Number,1512,210
Pelham Parkway,White,2015,Number,1572,211
Pelham Parkway,Black,2015,Number,1388,211
Pelham Parkway,Asian,2015,Number,542,211
Pelham Parkway,Latino,2015,Number,4968,211
Williamsbridge,White,2015,Number,262,212
Williamsbridge,Black,2015,Number,5279,212
Williamsbridge,Asian,2015,Number,0,212
Williamsbridge,Latino,2015,Number,4386,212
Williamsburg/Greenpoint,White,2015,Number,8989,301
Williamsburg/Greenpoint,Black,2015,Number,496,301
Williamsburg/Greenpoint,Asian,2015,Number,166,301
Williamsburg/Greenpoint,Latino,2015,Number,2473,301
Fort Greene/Brooklyn Hts,White,2015,Number,1664,302
Fort Greene/Brooklyn Hts,Black,2015,Number,2161,302
Fort Greene/Brooklyn Hts,Asian,2015,Number,372,302
Fort Greene/Brooklyn Hts,Latino,2015,Number,1453,302
Bedford Stuyvesant,White,2015,Number,7332,303
Bedford Stuyvesant,Black,2015,Number,7036,303
Bedford Stuyvesant,Asian,2015,Number,102,303
Bedford Stuyvesant,Latino,2015,Number,4249,303
Bushwick,White,2015,Number,20,304
Bushwick,Black,2015,Number,1908,304
Bushwick,Asian,2015,Number,131,304
Bushwick,Latino,2015,Number,7439,304
East New York,White,2015,Number,351,305
East New York,Black,2015,Number,6558,305
East New York,Asian,2015,Number,405,305
East New York,Latino,2015,Number,7757,305
Park Slope,White,2015,Number,426,306
Park Slope,Black,2015,Number,471,306
Park Slope,Asian,2015,Number,84,306
Park Slope,Latino,2015,Number,946,306
Sunset Park,White,2015,Number,1844,307
Sunset Park,Black,2015,Number,127,307
Sunset Park,Asian,2015,Number,5068,307
Sunset Park,Latino,2015,Number,8438,307
Crown Heights North,White,2015,Number,274,308
Crown Heights North,Black,2015,Number,5661,308
Crown Heights North,Asian,2015,Number,246,308
Crown Heights North,Latino,2015,Number,2459,308
Crown Heights South,White,2015,Number,1863,309
Crown Heights South,Black,2015,Number,3723,309
Crown Heights South,Asian,2015,Number,91,309
Crown Heights South,Latino,2015,Number,605,309
Bay Ridge,White,2015,Number,2323,310
Bay Ridge,Black,2015,Number,174,310
Bay Ridge,Asian,2015,Number,1895,310
Bay Ridge,Latino,2015,Number,1458,310
Bensonhurst,White,2015,Number,3640,311
Bensonhurst,Black,2015,Number,275,311
Bensonhurst,Asian,2015,Number,2858,311
Bensonhurst,Latino,2015,Number,2835,311
Borough Park,White,2015,Number,20343,312
Borough Park,Black,2015,Number,141,312
Borough Park,Asian,2015,Number,2189,312
Borough Park,Latino,2015,Number,1939,312
Coney Island,White,2015,Number,2041,313
Coney Island,Black,2015,Number,1718,313
Coney Island,Asian,2015,Number,1443,313
Coney Island,Latino,2015,Number,2346,313
Flatbush/Midwood,White,2015,Number,3510,314
Flatbush/Midwood,Black,2015,Number,2957,314
Flatbush/Midwood,Asian,2015,Number,2221,314
Flatbush/Midwood,Latino,2015,Number,2503,314
Sheepshead Bay,White,2015,Number,3342,315
Sheepshead Bay,Black,2015,Number,250,315
Sheepshead Bay,Asian,2015,Number,2018,315
Sheepshead Bay,Latino,2015,Number,1210,315
Brownsville,White,2015,Number,113,316
Brownsville,Black,2015,Number,9643,316
Brownsville,Asian,2015,Number,203,316
Brownsville,Latino,2015,Number,4921,316
East Flatbush,White,2015,Number,525,317
East Flatbush,Black,2015,Number,5793,317
East Flatbush,Asian,2015,Number,123,317
East Flatbush,Latino,2015,Number,977,317
Canarsie,White,2015,Number,958,318
Canarsie,Black,2015,Number,5711,318
Canarsie,Asian,2015,Number,131,318
Canarsie,Latino,2015,Number,679,318
Astoria,White,2015,Number,1346,401
Astoria,Black,2015,Number,1432,401
Astoria,Asian,2015,Number,1656,401
Astoria,Latino,2015,Number,2471,401
Sunnyside/Woodside,White,2015,Number,333,402
Sunnyside/Woodside,Black,2015,Number,0,402
Sunnyside/Woodside,Asian,2015,Number,2040,402
Sunnyside/Woodside,Latino,2015,Number,2988,402
Jackson Heights,White,2015,Number,257,403
Jackson Heights,Black,2015,Number,322,403
Jackson Heights,Asian,2015,Number,993,403
Jackson Heights,Latino,2015,Number,7431,403
Elmhurst/Corona,White,2015,Number,278,404
Elmhurst/Corona,Black,2015,Number,618,404
Elmhurst/Corona,Asian,2015,Number,1987,404
Elmhurst/Corona,Latino,2015,Number,6224,404
Ridgewood/Glendale,White,2015,Number,1232,405
Ridgewood/Glendale,Black,2015,Number,0,405
Ridgewood/Glendale,Asian,2015,Number,460,405
Ridgewood/Glendale,Latino,2015,Number,4484,405
Rego Park/Forest Hills,White,2015,Number,2065,406
Rego Park/Forest Hills,Black,2015,Number,16,406
Rego Park/Forest Hills,Asian,2015,Number,725,406
Rego Park/Forest Hills,Latino,2015,Number,161,406
Flushing,White,2015,Number,587,407
Flushing,Black,2015,Number,184,407
Flushing,Asian,2015,Number,4397,407
Flushing,Latino,2015,Number,1586,407
Fresh Meadows/Briarwood,White,2015,Number,1036,408
Fresh Meadows/Briarwood,Black,2015,Number,386,408
Fresh Meadows/Briarwood,Asian,2015,Number,1978,408
Fresh Meadows/Briarwood,Latino,2015,Number,1821,408
Woodhaven,White,2015,Number,343,409
Woodhaven,Black,2015,Number,230,409
Woodhaven,Asian,2015,Number,2661,409
Woodhaven,Latino,2015,Number,4182,409
Howard Beach,White,2015,Number,667,410
Howard Beach,Black,2015,Number,947,410
Howard Beach,Asian,2015,Number,1583,410
Howard Beach,Latino,2015,Number,2567,410
Bayside,White,2015,Number,397,411
Bayside,Black,2015,Number,0,411
Bayside,Asian,2015,Number,681,411
Bayside,Latino,2015,Number,498,411
Jamaica/St. Albans,White,2015,Number,145,412
Jamaica/St. Albans,Black,2015,Number,6292,412
Jamaica/St. Albans,Asian,2015,Number,1750,412
Jamaica/St. Albans,Latino,2015,Number,3280,412
Queens Village,White,2015,Number,104,413
Queens Village,Black,2015,Number,2264,413
Queens Village,Asian,2015,Number,701,413
Queens Village,Latino,2015,Number,532,413
The Rockaways,White,2015,Number,950,414
The Rockaways,Black,2015,Number,3720,414
The Rockaways,Asian,2015,Number,50,414
The Rockaways,Latino,2015,Number,2782,414
St. George,White,2015,Number,1459,501
St. George,Black,2015,Number,3476,501
St. George,Asian,2015,Number,463,501
St. George,Latino,2015,Number,5976,501
South Beach,White,2015,Number,1561,502
South Beach,Black,2015,Number,670,502
South Beach,Asian,2015,Number,918,502
South Beach,Latino,2015,Number,1083,502
Tottenville,White,2015,Number,2400,503
Tottenville,Black,2015,Number,0,503
Tottenville,Asian,2015,Number,119,503
Tottenville,Latino,2015,Number,883,503
Bronx,White,2015,Number,4774,36005
Bronx,Black,2015,Number,37373,36005
Bronx,Asian,2015,Number,3930,36005
Bronx,Latino,2015,Number,101157,36005
Brooklyn,White,2015,Number,59557,36047
Brooklyn,Black,2015,Number,54803,36047
Brooklyn,Asian,2015,Number,19746,36047
Brooklyn,Latino,2015,Number,54688,36047
Manhattan,White,2015,Number,4016,36061
Manhattan,Black,2015,Number,15181,36061
Manhattan,Asian,2015,Number,4545,36061
Manhattan,Latino,2015,Number,31828,36061
Queens,White,2015,Number,9740,36081
Queens,Black,2015,Number,16410,36081
Queens,Asian,2015,Number,21661,36081
Queens,Latino,2015,Number,41005,36081
Staten Island,White,2015,Number,5421,36085
Staten Island,Black,2015,Number,4146,36085
Staten Island,Asian,2015,Number,1500,36085
Staten Island,Latino,2015,Number,7941,36085
New York City,White,2015,Number,83508,3651000
New York City,Black,2015,Number,127913,3651000
New York City,Asian,2015,Number,51382,3651000
New York City,Latino,2015,Number,236619,3651000
Battery Park/Tribeca,White,2015,Percent,0.01588,101
Battery Park/Tribeca,Black,2015,Percent,,101
Battery Park/Tribeca,Asian,2015,Percent,0.09687,101
Battery Park/Tribeca,Latino,2015,Percent,0.04076,101
Greenwich Village,White,2015,Percent,0.01588,102
Greenwich Village,Black,2015,Percent,,102
Greenwich Village,Asian,2015,Percent,0.09687,102
Greenwich Village,Latino,2015,Percent,0.04076,102
Lower East Side,White,2015,Percent,0.0718,103
Lower East Side,Black,2015,Percent,0.58288,103
Lower East Side,Asian,2015,Percent,0.47437,103
Lower East Side,Latino,2015,Percent,0.42675,103
Chelsea/Clinton,White,2015,Percent,0.13005,104
Chelsea/Clinton,Black,2015,Percent,0.8238,104
Chelsea/Clinton,Asian,2015,Percent,0.03674,104
Chelsea/Clinton,Latino,2015,Percent,0.36606,104
Midtown Business District,White,2015,Percent,0.13005,105
Midtown Business District,Black,2015,Percent,0.8238,105
Midtown Business District,Asian,2015,Percent,0.03674,105
Midtown Business District,Latino,2015,Percent,0.36606,105
Murray Hill/Stuyvesant,White,2015,Percent,0.0062,106
Murray Hill/Stuyvesant,Black,2015,Percent,,106
Murray Hill/Stuyvesant,Asian,2015,Percent,0.22431,106
Murray Hill/Stuyvesant,Latino,2015,Percent,,106
Upper West Side,White,2015,Percent,0.03197,107
Upper West Side,Black,2015,Percent,0.67573,107
Upper West Side,Asian,2015,Percent,0.14526,107
Upper West Side,Latino,2015,Percent,0.27199,107
Upper East Side,White,2015,Percent,0.05443,108
Upper East Side,Black,2015,Percent,,108
Upper East Side,Asian,2015,Percent,0.0149,108
Upper East Side,Latino,2015,Percent,0.09926,108
Manhattanville,White,2015,Percent,0.00741,109
Manhattanville,Black,2015,Percent,0.57308,109
Manhattanville,Asian,2015,Percent,0.13269,109
Manhattanville,Latino,2015,Percent,0.39386,109
Central Harlem,White,2015,Percent,0.11542,110
Central Harlem,Black,2015,Percent,0.40137,110
Central Harlem,Asian,2015,Percent,0.32094,110
Central Harlem,Latino,2015,Percent,0.38648,110
East Harlem,White,2015,Percent,0.02111,111
East Harlem,Black,2015,Percent,0.4025,111
East Harlem,Asian,2015,Percent,0.45179,111
East Harlem,Latino,2015,Percent,0.5442,111
Washington Heights,White,2015,Percent,0.13816,112
Washington Heights,Black,2015,Percent,0.53815,112
Washington Heights,Asian,2015,Percent,0.28546,112
Washington Heights,Latino,2015,Percent,0.3599,112
Mott Haven,White,2015,Percent,0.60669,201
Mott Haven,Black,2015,Percent,0.42256,201
Mott Haven,Asian,2015,Percent,0.11615,201
Mott Haven,Latino,2015,Percent,0.51542,201
Hunts Point,White,2015,Percent,0.60669,202
Hunts Point,Black,2015,Percent,0.42256,202
Hunts Point,Asian,2015,Percent,0.11615,202
Hunts Point,Latino,2015,Percent,0.51542,202
Morrisania,White,2015,Percent,0.2036,203
Morrisania,Black,2015,Percent,0.49037,203
Morrisania,Asian,2015,Percent,0.28747,203
Morrisania,Latino,2015,Percent,0.52739,203
Concourse/Highbridge,White,2015,Percent,0.3024,204
Concourse/Highbridge,Black,2015,Percent,0.411,204
Concourse/Highbridge,Asian,2015,Percent,0.44353,204
Concourse/Highbridge,Latino,2015,Percent,0.53929,204
University Heights,White,2015,Percent,0.79654,205
University Heights,Black,2015,Percent,0.55467,205
University Heights,Asian,2015,Percent,0.46331,205
University Heights,Latino,2015,Percent,0.57241,205
East Tremont,White,2015,Percent,0.2036,206
East Tremont,Black,2015,Percent,0.49037,206
East Tremont,Asian,2015,Percent,0.28747,206
East Tremont,Latino,2015,Percent,0.52739,206
Bedford Park,White,2015,Percent,0.06809,207
Bedford Park,Black,2015,Percent,0.24961,207
Bedford Park,Asian,2015,Percent,0.64337,207
Bedford Park,Latino,2015,Percent,0.47479,207
Riverdale,White,2015,Percent,0.07093,208
Riverdale,Black,2015,Percent,0.28633,208
Riverdale,Asian,2015,Percent,0.11805,208
Riverdale,Latino,2015,Percent,0.35494,208
Unionport/Soundview,White,2015,Percent,0.75279,209
Unionport/Soundview,Black,2015,Percent,0.44836,209
Unionport/Soundview,Asian,2015,Percent,0.2801,209
Unionport/Soundview,Latino,2015,Percent,0.46114,209
Throgs Neck,White,2015,Percent,0.03792,210
Throgs Neck,Black,2015,Percent,0.10792,210
Throgs Neck,Asian,2015,Percent,0.10962,210
Throgs Neck,Latino,2015,Percent,0.14937,210
Pelham Parkway,White,2015,Percent,0.30617,211
Pelham Parkway,Black,2015,Percent,0.29552,211
Pelham Parkway,Asian,2015,Percent,0.23345,211
Pelham Parkway,Latino,2015,Percent,0.3039,211
Williamsbridge,White,2015,Percent,0.12542,212
Williamsbridge,Black,2015,Percent,0.25858,212
Williamsbridge,Asian,2015,Percent,,212
Williamsbridge,Latino,2015,Percent,0.5089,212
Williamsburg/Greenpoint,White,2015,Percent,0.42561,301
Williamsburg/Greenpoint,Black,2015,Percent,0.54446,301
Williamsburg/Greenpoint,Asian,2015,Percent,0.15009,301
Williamsburg/Greenpoint,Latino,2015,Percent,0.327,301
Fort Greene/Brooklyn Hts,White,2015,Percent,0.18889,302
Fort Greene/Brooklyn Hts,Black,2015,Percent,0.33376,302
Fort Greene/Brooklyn Hts,Asian,2015,Percent,0.19854,302
Fort Greene/Brooklyn Hts,Latino,2015,Percent,0.33158,302
Bedford Stuyvesant,White,2015,Percent,0.59878,303
Bedford Stuyvesant,Black,2015,Percent,0.41363,303
Bedford Stuyvesant,Asian,2015,Percent,0.25061,303
Bedford Stuyvesant,Latino,2015,Percent,0.51937,303
Bushwick,White,2015,Percent,0.02195,304
Bushwick,Black,2015,Percent,0.34663,304
Bushwick,Asian,2015,Percent,0.17014,304
Bushwick,Latino,2015,Percent,0.35451,304
East New York,White,2015,Percent,0.60938,305
East New York,Black,2015,Percent,0.33904,305
East New York,Asian,2015,Percent,0.30007,305
East New York,Latino,2015,Percent,0.4306,305
Park Slope,White,2015,Percent,0.02739,306
Park Slope,Black,2015,Percent,0.34172,306
Park Slope,Asian,2015,Percent,0.1133,306
Park Slope,Latino,2015,Percent,0.23452,306
Sunset Park,White,2015,Percent,0.27095,307
Sunset Park,Black,2015,Percent,0.41822,307
Sunset Park,Asian,2015,Percent,0.42312,307
Sunset Park,Latino,2015,Percent,0.50697,307
Crown Heights North,White,2015,Percent,0.07749,308
Crown Heights North,Black,2015,Percent,0.35771,308
Crown Heights North,Asian,2015,Percent,0.38147,308
Crown Heights North,Latino,2015,Percent,0.56202,308
Crown Heights South,White,2015,Percent,0.3665,309
Crown Heights South,Black,2015,Percent,0.24726,309
Crown Heights South,Asian,2015,Percent,0.61851,309
Crown Heights South,Latino,2015,Percent,0.29298,309
Bay Ridge,White,2015,Percent,0.19222,310
Bay Ridge,Black,2015,Percent,0.49478,310
Bay Ridge,Asian,2015,Percent,0.31209,310
Bay Ridge,Latino,2015,Percent,0.25615,310
Bensonhurst,White,2015,Percent,0.27645,311
Bensonhurst,Black,2015,Percent,0.64453,311
Bensonhurst,Asian,2015,Percent,0.18237,311
Bensonhurst,Latino,2015,Percent,0.33875,311
Borough Park,White,2015,Percent,0.43926,312
Borough Park,Black,2015,Percent,0.21933,312
Borough Park,Asian,2015,Percent,0.3901,312
Borough Park,Latino,2015,Percent,0.41904,312
Coney Island,White,2015,Percent,0.2128,313
Coney Island,Black,2015,Percent,0.48788,313
Coney Island,Asian,2015,Percent,0.35484,313
Coney Island,Latino,2015,Percent,0.49546,313
Flatbush/Midwood,White,2015,Percent,0.22409,314
Flatbush/Midwood,Black,2015,Percent,0.24881,314
Flatbush/Midwood,Asian,2015,Percent,0.43557,314
Flatbush/Midwood,Latino,2015,Percent,0.39453,314
Sheepshead Bay,White,2015,Percent,0.16847,315
Sheepshead Bay,Black,2015,Percent,0.42509,315
Sheepshead Bay,Asian,2015,Percent,0.38442,315
Sheepshead Bay,Latino,2015,Percent,0.27137,315
Brownsville,White,2015,Percent,0.50825,316
Brownsville,Black,2015,Percent,0.40839,316
Brownsville,Asian,2015,Percent,0.55912,316
Brownsville,Latino,2015,Percent,0.60682,316
East Flatbush,White,2015,Percent,0.89789,317
East Flatbush,Black,2015,Percent,0.23071,317
East Flatbush,Asian,2015,Percent,0.58637,317
East Flatbush,Latino,2015,Percent,0.36894,317
Canarsie,White,2015,Percent,0.08764,318
Canarsie,Black,2015,Percent,0.19041,318
Canarsie,Asian,2015,Percent,0.06709,318
Canarsie,Latino,2015,Percent,0.1666,318
Astoria,White,2015,Percent,0.15513,401
Astoria,Black,2015,Percent,0.55836,401
Astoria,Asian,2015,Percent,0.35762,401
Astoria,Latino,2015,Percent,0.27742,401
Sunnyside/Woodside,White,2015,Percent,0.06858,402
Sunnyside/Woodside,Black,2015,Percent,,402
Sunnyside/Woodside,Asian,2015,Percent,0.22203,402
Sunnyside/Woodside,Latino,2015,Percent,0.30294,402
Jackson Heights,White,2015,Percent,0.09002,403
Jackson Heights,Black,2015,Percent,0.35646,403
Jackson Heights,Asian,2015,Percent,0.15448,403
Jackson Heights,Latino,2015,Percent,0.2536,403
Elmhurst/Corona,White,2015,Percent,0.24175,404
Elmhurst/Corona,Black,2015,Percent,0.21947,404
Elmhurst/Corona,Asian,2015,Percent,0.22312,404
Elmhurst/Corona,Latino,2015,Percent,0.33381,404
Ridgewood/Glendale,White,2015,Percent,0.08052,405
Ridgewood/Glendale,Black,2015,Percent,,405
Ridgewood/Glendale,Asian,2015,Percent,0.1911,405
Ridgewood/Glendale,Latino,2015,Percent,0.25957,405
Rego Park/Forest Hills,White,2015,Percent,0.20157,406
Rego Park/Forest Hills,Black,2015,Percent,0.03206,406
Rego Park/Forest Hills,Asian,2015,Percent,0.12044,406
Rego Park/Forest Hills,Latino,2015,Percent,0.05784,406
Flushing,White,2015,Percent,0.06024,407
Flushing,Black,2015,Percent,0.19023,407
Flushing,Asian,2015,Percent,0.22061,407
Flushing,Latino,2015,Percent,0.16868,407
Fresh Meadows/Briarwood,White,2015,Percent,0.09825,408
Fresh Meadows/Briarwood,Black,2015,Percent,0.11584,408
Fresh Meadows/Briarwood,Asian,2015,Percent,0.1826,408
Fresh Meadows/Briarwood,Latino,2015,Percent,0.2955,408
Woodhaven,White,2015,Percent,0.07147,409
Woodhaven,Black,2015,Percent,0.12907,409
Woodhaven,Asian,2015,Percent,0.28384,409
Woodhaven,Latino,2015,Percent,0.24419,409
Howard Beach,White,2015,Percent,0.15923,410
Howard Beach,Black,2015,Percent,0.2389,410
Howard Beach,Asian,2015,Percent,0.25442,410
Howard Beach,Latino,2015,Percent,0.29431,410
Bayside,White,2015,Percent,0.05699,411
Bayside,Black,2015,Percent,,411
Bayside,Asian,2015,Percent,0.0655,411
Bayside,Latino,2015,Percent,0.15236,411
Jamaica/St. Albans,White,2015,Percent,0.20615,412
Jamaica/St. Albans,Black,2015,Percent,0.18838,412
Jamaica/St. Albans,Asian,2015,Percent,0.24857,412
Jamaica/St. Albans,Latino,2015,Percent,0.27519,412
Queens Village,White,2015,Percent,0.04759,413
Queens Village,Black,2015,Percent,0.10089,413
Queens Village,Asian,2015,Percent,0.12867,413
Queens Village,Latino,2015,Percent,0.10089,413
The Rockaways,White,2015,Percent,0.10201,414
The Rockaways,Black,2015,Percent,0.38376,414
The Rockaways,Asian,2015,Percent,0.06664,414
The Rockaways,Latino,2015,Percent,0.30022,414
