"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Canarsie,Married Couples,2014,Percent,0.074,318
Canarsie,Single Mothers,2014,Percent,0.312,318
Canarsie,Single Fathers,2014,Percent,0.413,318
Canarsie,Grandparents,2014,Percent,0.056,318
Canarsie,Other,2014,Percent,0.239,318
Astoria,Married Couples,2014,Percent,0.204,401
Astoria,Single Mothers,2014,Percent,0.498,401
Astoria,Single Fathers,2014,Percent,0.191,401
Astoria,Grandparents,2014,Percent,0.3,401
Astoria,Other,2014,Percent,0.184,401
Sunnyside/Woodside,Married Couples,2014,Percent,0.181,402
Sunnyside/Woodside,Single Mothers,2014,Percent,0.504,402
Sunnyside/Woodside,Single Fathers,2014,Percent,0.199,402
Sunnyside/Woodside,Grandparents,2014,Percent,0.175,402
Sunnyside/Woodside,Other,2014,Percent,0.252,402
Jackson Heights,Married Couples,2014,Percent,0.218,403
Jackson Heights,Single Mothers,2014,Percent,0.549,403
Jackson Heights,Single Fathers,2014,Percent,0.154,403
Jackson Heights,Grandparents,2014,Percent,0.126,403
Jackson Heights,Other,2014,Percent,0.273,403
Elmhurst/Corona,Married Couples,2014,Percent,0.21,404
Elmhurst/Corona,Single Mothers,2014,Percent,0.535,404
Elmhurst/Corona,Single Fathers,2014,Percent,0.413,404
Elmhurst/Corona,Grandparents,2014,Percent,0.253,404
Elmhurst/Corona,Other,2014,Percent,0.263,404
Ridgewood/Glendale,Married Couples,2014,Percent,0.086,405
Ridgewood/Glendale,Single Mothers,2014,Percent,0.451,405
Ridgewood/Glendale,Single Fathers,2014,Percent,0.149,405
Ridgewood/Glendale,Grandparents,2014,Percent,0.224,405
Ridgewood/Glendale,Other,2014,Percent,0.26,405
Rego Park/Forest Hills,Married Couples,2014,Percent,0.103,406
Rego Park/Forest Hills,Single Mothers,2014,Percent,0.249,406
Rego Park/Forest Hills,Single Fathers,2014,Percent,0.108,406
Rego Park/Forest Hills,Grandparents,2014,Percent,0.151,406
Rego Park/Forest Hills,Other,2014,Percent,0.042,406
Flushing,Married Couples,2014,Percent,0.161,407
Flushing,Single Mothers,2014,Percent,0.451,407
Flushing,Single Fathers,2014,Percent,0.206,407
Flushing,Grandparents,2014,Percent,0.034,407
Flushing,Other,2014,Percent,0.237,407
Fresh Meadows/Briarwood,Married Couples,2014,Percent,0.162,408
Fresh Meadows/Briarwood,Single Mothers,2014,Percent,0.505,408
Fresh Meadows/Briarwood,Single Fathers,2014,Percent,0.031,408
Fresh Meadows/Briarwood,Grandparents,2014,Percent,0.319,408
Fresh Meadows/Briarwood,Other,2014,Percent,0.716,408
Woodhaven,Married Couples,2014,Percent,0.164,409
Woodhaven,Single Mothers,2014,Percent,0.511,409
Woodhaven,Single Fathers,2014,Percent,0.211,409
Woodhaven,Grandparents,2014,Percent,0.138,409
Woodhaven,Other,2014,Percent,0.179,409
Howard Beach,Married Couples,2014,Percent,0.153,410
Howard Beach,Single Mothers,2014,Percent,0.517,410
Howard Beach,Single Fathers,2014,Percent,0.233,410
Howard Beach,Grandparents,2014,Percent,0.126,410
Howard Beach,Other,2014,Percent,0.169,410
Bayside,Married Couples,2014,Percent,0.071,411
Bayside,Single Mothers,2014,Percent,0.155,411
Bayside,Single Fathers,2014,Percent,0.435,411
Bayside,Grandparents,2014,Percent,0,411
Bayside,Other,2014,Percent,0.184,411
Jamaica/St. Albans,Married Couples,2014,Percent,0.179,412
Jamaica/St. Albans,Single Mothers,2014,Percent,0.406,412
Jamaica/St. Albans,Single Fathers,2014,Percent,0.365,412
Jamaica/St. Albans,Grandparents,2014,Percent,0.158,412
Jamaica/St. Albans,Other,2014,Percent,0.216,412
Queens Village,Married Couples,2014,Percent,0.066,413
Queens Village,Single Mothers,2014,Percent,0.298,413
Queens Village,Single Fathers,2014,Percent,0.182,413
Queens Village,Grandparents,2014,Percent,0.15,413
Queens Village,Other,2014,Percent,0.168,413
The Rockaways,Married Couples,2014,Percent,0.137,414
The Rockaways,Single Mothers,2014,Percent,0.514,414
The Rockaways,Single Fathers,2014,Percent,0.24,414
The Rockaways,Grandparents,2014,Percent,0.223,414
The Rockaways,Other,2014,Percent,0.336,414
St. George,Married Couples,2014,Percent,0.125,501
St. George,Single Mothers,2014,Percent,0.662,501
St. George,Single Fathers,2014,Percent,0.24,501
St. George,Grandparents,2014,Percent,0.308,501
St. George,Other,2014,Percent,0.208,501
South Beach,Married Couples,2014,Percent,0.05,502
South Beach,Single Mothers,2014,Percent,0.389,502
South Beach,Single Fathers,2014,Percent,0.123,502
South Beach,Grandparents,2014,Percent,0.133,502
South Beach,Other,2014,Percent,0.339,502
Tottenville,Married Couples,2014,Percent,0.038,503
Tottenville,Single Mothers,2014,Percent,0.302,503
Tottenville,Single Fathers,2014,Percent,0.299,503
Tottenville,Grandparents,2014,Percent,0.043,503
Tottenville,Other,2014,Percent,0.82,503
Bronx,Married Couples,2014,Percent,0.246,36005
Bronx,Single Mothers,2014,Percent,0.577,36005
Bronx,Single Fathers,2014,Percent,0.407,36005
Bronx,Grandparents,2014,Percent,0.387,36005
Bronx,Other,2014,Percent,0.34,36005
Brooklyn,Married Couples,2014,Percent,0.276,36047
Brooklyn,Single Mothers,2014,Percent,0.474,36047
Brooklyn,Single Fathers,2014,Percent,0.382,36047
Brooklyn,Grandparents,2014,Percent,0.264,36047
Brooklyn,Other,2014,Percent,0.339,36047
Manhattan,Married Couples,2014,Percent,0.092,36061
Manhattan,Single Mothers,2014,Percent,0.486,36061
Manhattan,Single Fathers,2014,Percent,0.343,36061
Manhattan,Grandparents,2014,Percent,0.351,36061
Manhattan,Other,2014,Percent,0.402,36061
Queens,Married Couples,2014,Percent,0.15,36081
Queens,Single Mothers,2014,Percent,0.457,36081
Queens,Single Fathers,2014,Percent,0.243,36081
Queens,Grandparents,2014,Percent,0.162,36081
Queens,Other,2014,Percent,0.241,36081
Staten Island,Married Couples,2014,Percent,0.07,36085
Staten Island,Single Mothers,2014,Percent,0.546,36085
Staten Island,Single Fathers,2014,Percent,0.227,36085
Staten Island,Grandparents,2014,Percent,0.183,36085
Staten Island,Other,2014,Percent,0.356,36085
New York City,Married Couples,2014,Percent,0.194,3651000
New York City,Single Mothers,2014,Percent,0.511,3651000
New York City,Single Fathers,2014,Percent,0.336,3651000
New York City,Grandparents,2014,Percent,0.269,3651000
New York City,Other,2014,Percent,0.318,3651000
Battery Park/Tribeca,Married Couples,2015,Number,104.9994,101
Battery Park/Tribeca,Single Mothers,2015,Number,68.24961,101
Battery Park/Tribeca,Single Fathers,2015,Number,21.80757,101
Battery Park/Tribeca,Grandparents,2015,Number,18.17297,101
Battery Park/Tribeca,Other,2015,Number,0,101
Greenwich Village,Married Couples,2015,Number,155.0006,102
Greenwich Village,Single Mothers,2015,Number,100.75039,102
Greenwich Village,Single Fathers,2015,Number,32.19243,102
Greenwich Village,Grandparents,2015,Number,26.82703,102
Greenwich Village,Other,2015,Number,0,102
Lower East Side,Married Couples,2015,Number,1284,103
Lower East Side,Single Mothers,2015,Number,3545,103
Lower East Side,Single Fathers,2015,Number,321,103
Lower East Side,Grandparents,2015,Number,1538,103
Lower East Side,Other,2015,Number,305,103
Chelsea/Clinton,Married Couples,2015,Number,201.2677,104
Chelsea/Clinton,Single Mothers,2015,Number,1269.58601,104
Chelsea/Clinton,Single Fathers,2015,Number,0,104
Chelsea/Clinton,Grandparents,2015,Number,124.62603,104
Chelsea/Clinton,Other,2015,Number,180.60777,104
Midtown Business District,Married Couples,2015,Number,100.7323,105
Midtown Business District,Single Mothers,2015,Number,635.41399,105
Midtown Business District,Single Fathers,2015,Number,0,105
Midtown Business District,Grandparents,2015,Number,62.37397,105
Midtown Business District,Other,2015,Number,90.39223,105
Murray Hill/Stuyvesant,Married Couples,2015,Number,386,106
Murray Hill/Stuyvesant,Single Mothers,2015,Number,40,106
Murray Hill/Stuyvesant,Single Fathers,2015,Number,0,106
Murray Hill/Stuyvesant,Grandparents,2015,Number,0,106
Murray Hill/Stuyvesant,Other,2015,Number,0,106
Upper West Side,Married Couples,2015,Number,1389,107
Upper West Side,Single Mothers,2015,Number,779,107
Upper West Side,Single Fathers,2015,Number,32,107
Upper West Side,Grandparents,2015,Number,453,107
Upper West Side,Other,2015,Number,89,107
Upper East Side,Married Couples,2015,Number,1058,108
Upper East Side,Single Mothers,2015,Number,714,108
Upper East Side,Single Fathers,2015,Number,0,108
Upper East Side,Grandparents,2015,Number,28,108
Upper East Side,Other,2015,Number,0,108
Manhattanville,Married Couples,2015,Number,1097,109
Manhattanville,Single Mothers,2015,Number,4101,109
Manhattanville,Single Fathers,2015,Number,190,109
Manhattanville,Grandparents,2015,Number,930,109
Manhattanville,Other,2015,Number,217,109
Central Harlem,Married Couples,2015,Number,1404,110
Central Harlem,Single Mothers,2015,Number,5988,110
Central Harlem,Single Fathers,2015,Number,1273,110
Central Harlem,Grandparents,2015,Number,1406,110
Central Harlem,Other,2015,Number,384,110
East Harlem,Married Couples,2015,Number,2211,111
East Harlem,Single Mothers,2015,Number,6978,111
East Harlem,Single Fathers,2015,Number,707,111
East Harlem,Grandparents,2015,Number,935,111
East Harlem,Other,2015,Number,484,111
Washington Heights,Married Couples,2015,Number,2883,112
Washington Heights,Single Mothers,2015,Number,5028,112
Washington Heights,Single Fathers,2015,Number,564,112
Washington Heights,Grandparents,2015,Number,3197,112
Washington Heights,Other,2015,Number,1324,112
Mott Haven,Married Couples,2015,Number,2759.36564,201
Mott Haven,Single Mothers,2015,Number,8476.69486,201
Mott Haven,Single Fathers,2015,Number,1145.12083,201
Mott Haven,Grandparents,2015,Number,1409.91808,201
Mott Haven,Other,2015,Number,478.03543,201
Hunts Point,Married Couples,2015,Number,1575.63436,202
Hunts Point,Single Mothers,2015,Number,4840.30514,202
Hunts Point,Single Fathers,2015,Number,653.87917,202
Hunts Point,Grandparents,2015,Number,805.08192,202
Hunts Point,Other,2015,Number,272.96457,202
Morrisania,Married Couples,2015,Number,1992.21532,203
Morrisania,Single Mothers,2015,Number,7808.8774,203
Morrisania,Single Fathers,2015,Number,811.6614,203
Morrisania,Grandparents,2015,Number,834.65603,203
Morrisania,Other,2015,Number,342.96241,203
Concourse/Highbridge,Married Couples,2015,Number,4475,204
Concourse/Highbridge,Single Mothers,2015,Number,11246,204
Concourse/Highbridge,Single Fathers,2015,Number,947,204
Concourse/Highbridge,Grandparents,2015,Number,1428,204
Concourse/Highbridge,Other,2015,Number,1282,204
University Heights,Married Couples,2015,Number,4136,205
University Heights,Single Mothers,2015,Number,13405,205
University Heights,Single Fathers,2015,Number,1190,205
University Heights,Grandparents,2015,Number,1805,205
University Heights,Other,2015,Number,809,205
East Tremont,Married Couples,2015,Number,2079.78468,206
East Tremont,Single Mothers,2015,Number,8152.1226,206
East Tremont,Single Fathers,2015,Number,847.3386,206
East Tremont,Grandparents,2015,Number,871.34397,206
East Tremont,Other,2015,Number,358.03759,206
Bedford Park,Married Couples,2015,Number,3773,207
Bedford Park,Single Mothers,2015,Number,8366,207
Bedford Park,Single Fathers,2015,Number,276,207
Bedford Park,Grandparents,2015,Number,1717,207
Bedford Park,Other,2015,Number,824,207
Riverdale,Married Couples,2015,Number,988,208
Riverdale,Single Mothers,2015,Number,3103,208
Riverdale,Single Fathers,2015,Number,970,208
Riverdale,Grandparents,2015,Number,1157,208
Riverdale,Other,2015,Number,21,208
Unionport/Soundview,Married Couples,2015,Number,4931,209
Unionport/Soundview,Single Mothers,2015,Number,10837,209
Unionport/Soundview,Single Fathers,2015,Number,576,209
Unionport/Soundview,Grandparents,2015,Number,1857,209
Unionport/Soundview,Other,2015,Number,891,209
Throgs Neck,Married Couples,2015,Number,438,210
Throgs Neck,Single Mothers,2015,Number,1600,210
Throgs Neck,Single Fathers,2015,Number,193,210
Throgs Neck,Grandparents,2015,Number,200,210
Throgs Neck,Other,2015,Number,79,210
Pelham Parkway,Married Couples,2015,Number,3194,211
Pelham Parkway,Single Mothers,2015,Number,4319,211
Pelham Parkway,Single Fathers,2015,Number,674,211
Pelham Parkway,Grandparents,2015,Number,448,211
Pelham Parkway,Other,2015,Number,105,211
Williamsbridge,Married Couples,2015,Number,1691,212
Williamsbridge,Single Mothers,2015,Number,6370,212
Williamsbridge,Single Fathers,2015,Number,757,212
Williamsbridge,Grandparents,2015,Number,831,212
Williamsbridge,Other,2015,Number,234,212
Williamsburg/Greenpoint,Married Couples,2015,Number,9526,301
Williamsburg/Greenpoint,Single Mothers,2015,Number,1415,301
Williamsburg/Greenpoint,Single Fathers,2015,Number,341,301
Williamsburg/Greenpoint,Grandparents,2015,Number,802,301
Williamsburg/Greenpoint,Other,2015,Number,40,301
Fort Greene/Brooklyn Hts,Married Couples,2015,Number,1995,302
Fort Greene/Brooklyn Hts,Single Mothers,2015,Number,2290,302
Fort Greene/Brooklyn Hts,Single Fathers,2015,Number,69,302
Fort Greene/Brooklyn Hts,Grandparents,2015,Number,1076,302
Fort Greene/Brooklyn Hts,Other,2015,Number,176,302
Bedford Stuyvesant,Married Couples,2015,Number,9241,303
Bedford Stuyvesant,Single Mothers,2015,Number,6722,303
Bedford Stuyvesant,Single Fathers,2015,Number,256,303
Bedford Stuyvesant,Grandparents,2015,Number,1781,303
Bedford Stuyvesant,Other,2015,Number,818,303
Bushwick,Married Couples,2015,Number,1935,304
Bushwick,Single Mothers,2015,Number,5618,304
Bushwick,Single Fathers,2015,Number,606,304
Bushwick,Grandparents,2015,Number,1043,304
Bushwick,Other,2015,Number,466,304
East New York,Married Couples,2015,Number,3062,305
East New York,Single Mothers,2015,Number,9076,305
East New York,Single Fathers,2015,Number,710,305
East New York,Grandparents,2015,Number,1636,305
East New York,Other,2015,Number,819,305
Park Slope,Married Couples,2015,Number,460,306
Park Slope,Single Mothers,2015,Number,1376,306
Park Slope,Single Fathers,2015,Number,105,306
Park Slope,Grandparents,2015,Number,76,306
Park Slope,Other,2015,Number,0,306
Sunset Park,Married Couples,2015,Number,9541,307
Sunset Park,Single Mothers,2015,Number,3579,307
Sunset Park,Single Fathers,2015,Number,912,307
Sunset Park,Grandparents,2015,Number,730,307
Sunset Park,Other,2015,Number,762,307
Crown Heights North,Married Couples,2015,Number,1823,308
Crown Heights North,Single Mothers,2015,Number,5222,308
Crown Heights North,Single Fathers,2015,Number,562,308
Crown Heights North,Grandparents,2015,Number,901,308
Crown Heights North,Other,2015,Number,840,308
Crown Heights South,Married Couples,2015,Number,2441,309
Crown Heights South,Single Mothers,2015,Number,2844,309
Crown Heights South,Single Fathers,2015,Number,259,309
Crown Heights South,Grandparents,2015,Number,604,309
Crown Heights South,Other,2015,Number,286,309
Bay Ridge,Married Couples,2015,Number,3018,310
Bay Ridge,Single Mothers,2015,Number,1077,310
Bay Ridge,Single Fathers,2015,Number,645,310
Bay Ridge,Grandparents,2015,Number,920,310
Bay Ridge,Other,2015,Number,220,310
Bensonhurst,Married Couples,2015,Number,6566,311
Bensonhurst,Single Mothers,2015,Number,2126,311
Bensonhurst,Single Fathers,2015,Number,336,311
Bensonhurst,Grandparents,2015,Number,334,311
Bensonhurst,Other,2015,Number,350,311
Borough Park,Married Couples,2015,Number,21388,312
Borough Park,Single Mothers,2015,Number,2078,312
Borough Park,Single Fathers,2015,Number,501,312
Borough Park,Grandparents,2015,Number,534,312
Borough Park,Other,2015,Number,290,312
Coney Island,Married Couples,2015,Number,3590,313
Coney Island,Single Mothers,2015,Number,2096,313
Coney Island,Single Fathers,2015,Number,801,313
Coney Island,Grandparents,2015,Number,852,313
Coney Island,Other,2015,Number,252,313
Flatbush/Midwood,Married Couples,2015,Number,6397,314
Flatbush/Midwood,Single Mothers,2015,Number,3354,314
Flatbush/Midwood,Single Fathers,2015,Number,360,314
Flatbush/Midwood,Grandparents,2015,Number,975,314
Flatbush/Midwood,Other,2015,Number,685,314
Sheepshead Bay,Married Couples,2015,Number,5091,315
Sheepshead Bay,Single Mothers,2015,Number,991,315
Sheepshead Bay,Single Fathers,2015,Number,280,315
Sheepshead Bay,Grandparents,2015,Number,140,315
Sheepshead Bay,Other,2015,Number,285,315
Brownsville,Married Couples,2015,Number,1107,316
Brownsville,Single Mothers,2015,Number,10772,316
Brownsville,Single Fathers,2015,Number,974,316
Brownsville,Grandparents,2015,Number,1292,316
Brownsville,Other,2015,Number,627,316
East Flatbush,Married Couples,2015,Number,1663,317
East Flatbush,Single Mothers,2015,Number,3918,317
East Flatbush,Single Fathers,2015,Number,475,317
East Flatbush,Grandparents,2015,Number,1049,317
East Flatbush,Other,2015,Number,339,317
Canarsie,Married Couples,2015,Number,1879,318
Canarsie,Single Mothers,2015,Number,3796,318
Canarsie,Single Fathers,2015,Number,957,318
Canarsie,Grandparents,2015,Number,694,318
Canarsie,Other,2015,Number,270,318
Astoria,Married Couples,2015,Number,2924,401
Astoria,Single Mothers,2015,Number,3016,401
Astoria,Single Fathers,2015,Number,229,401
Astoria,Grandparents,2015,Number,724,401
Astoria,Other,2015,Number,259,401
Sunnyside/Woodside,Married Couples,2015,Number,2698,402
Sunnyside/Woodside,Single Mothers,2015,Number,1573,402
Sunnyside/Woodside,Single Fathers,2015,Number,273,402
Sunnyside/Woodside,Grandparents,2015,Number,574,402
Sunnyside/Woodside,Other,2015,Number,351,402
Jackson Heights,Married Couples,2015,Number,3095,403
Jackson Heights,Single Mothers,2015,Number,3415,403
Jackson Heights,Single Fathers,2015,Number,1404,403
Jackson Heights,Grandparents,2015,Number,632,403
Jackson Heights,Other,2015,Number,462,403
Elmhurst/Corona,Married Couples,2015,Number,3636,404
Elmhurst/Corona,Single Mothers,2015,Number,3410,404
Elmhurst/Corona,Single Fathers,2015,Number,855,404
Elmhurst/Corona,Grandparents,2015,Number,535,404
Elmhurst/Corona,Other,2015,Number,750,404
Ridgewood/Glendale,Married Couples,2015,Number,1972,405
Ridgewood/Glendale,Single Mothers,2015,Number,3068,405
Ridgewood/Glendale,Single Fathers,2015,Number,452,405
Ridgewood/Glendale,Grandparents,2015,Number,357,405
Ridgewood/Glendale,Other,2015,Number,240,405
Rego Park/Forest Hills,Married Couples,2015,Number,2564,406
Rego Park/Forest Hills,Single Mothers,2015,Number,330,406
Rego Park/Forest Hills,Single Fathers,2015,Number,83,406
Rego Park/Forest Hills,Grandparents,2015,Number,140,406
Rego Park/Forest Hills,Other,2015,Number,0,406
Flushing,Married Couples,2015,Number,4285,407
Flushing,Single Mothers,2015,Number,1621,407
Flushing,Single Fathers,2015,Number,381,407
Flushing,Grandparents,2015,Number,284,407
Flushing,Other,2015,Number,296,407
Fresh Meadows/Briarwood,Married Couples,2015,Number,2570,408
Fresh Meadows/Briarwood,Single Mothers,2015,Number,1943,408
Fresh Meadows/Briarwood,Single Fathers,2015,Number,108,408
Fresh Meadows/Briarwood,Grandparents,2015,Number,396,408
Fresh Meadows/Briarwood,Other,2015,Number,747,408
